Museum	CatalogNumber	Subspecies	Piaggio	Sex	TotalLength	TailLength	HdftLength	EarLength	Weight	Basal	Condylo-basal	GrtstLength	NasalLength	NasalWidth	IncisiveForamen	ZygomaticWidth	MastoidWidth	InterorbitalBreadth	MaxillaryDiastema	PalatalLength	PalatalWidth	PostpalatalLength	InterpterygoidFossa 	AuditalTubeLength	AuditalTubeWidth	AlveolarLngSprChkth	Distb/wInfraorbitalFor	WidthAngularProcess	MandibleLength	MandibularDiastema	AlveolarLgthLwrChkth
AMNH	31073	phaea	coastal	  	NA	NA	NA	NA	NA	59.02	62.41	65.93	22	9.74	4.98	49.52	48.21	10.95	17.76	38.3	4.65	16.23	3.62	20.92	9.98	16.96	14.42	23.1	45.84	10.95	16.93
AMNH	559	californica	californica	FE	NA	NA	NA	NA	NA	68.4	73.06	78.95	27.34	12.31	8	57.78	54.67	10.47	20.66	41.35	4.49	20.43	5.69	23.65	10.85	17.25	17.94	24.19	53.35	13.28	18.26
AMNH	40555	NA	NA	FE	303	20	49	NA	NA	61.06	64.62	69.37	25.3	10.23	7.41	50.21	49.04	10.43	19.43	38.96	3.8	17.07	3.69	21.17	8.96	17.14	16.05	21.74	44.83	11.2	16.39
AMNH	149374	NA	NA	FE	340	26	60	NA	NA	69.54	74.04	76.81	26.97	13.25	8.13	58.86	54.93	7.83	20.16	42.59	5.61	20.44	4.74	22.89	9.62	18.6	19.13	26.56	52.66	12.55	18.26
AMNH	142743	NA	NA	FE	365	27	57	38	NA	68.09	72.36	75.33	26.44	12.81	7.22	57.68	53.64	10.19	20.4	42.39	6.11	19.22	5.19	24.84	10.39	17.75	17.1	22.99	51.17	13.08	18.01
AMNH	15719	rufa	olympica	FE	358	45	NA	12	NA	63.2	67.32	71.13	23.42	11.03	7.34	53.31	50.21	10.72	18.86	38.71	5.19	18.78	4.4	20.97	9.46	17.48	17.09	22.57	46.09	12.52	17.47
FMNH	9068	humboldtiana	coastal	FE	295	30	54	23	NA	65.85	70.16	72.78	24.96	12.22	6.1	55.34	52.22	11.51	19.75	46.09	4.98	19.67	4.95	23.29	10.3	17.33	15.66	23.44	50.57	11.71	17.79
FMNH	6309	rufa	olympica	FE	407	NA	38	NA	NA	63.28	67.68	70.54	27.16	12.28	7.08	56.86	54.69	9.08	19.83	44.73	5.69	18.2	4.7	24.02	9.55	17.39	14.92	23.85	47.39	12.15	17.33
FMNH	6312	rufa	olympica	FE	348	34	36	NA	NA	63.77	67.63	68.62	21.5	11.04	7.4	53.1	49.68	9.58	19.84	44.2	4.97	19.39	5.1	21.79	9.45	17.2	15.91	22.01	48.62	11.67	17.34
FMNH	6320	rufa	olympica	FE	329	45	NA	11	NA	64.99	69.36	71.72	25.83	11.35	6.87	52.16	50.42	9.25	18.66	45.2	5.68	19.65	4.79	22.28	9.75	18.09	16.58	22.04	49.42	11.51	17.52
